,Pageview,Revision,Corr.
271,Chinese University of Hong Kong conflict,Death of Chan Yin-lam,0.7019108119116992
579,"One country, two systems",Umbrella Movement,0.7005426625751566
266,Causes of the 2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.699481303341069
219,Carrie Lam,Civil Human Rights Front,0.697453259991441
142,2019 Yuen Long attack,Hong Kong–Mainland China conflict,0.6956293608233378
514,List of July 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.6831610260316472
318,Civil Human Rights Front,Umbrella Movement,0.6821575345187202
140,2019 Yuen Long attack,Government of Hong Kong,0.680692112046814
453,Hong Kong–Mainland China conflict,Police misconduct allegations during the 2019–20 Hong Kong protests,0.676287794130867
28,12 June 2019 Hong Kong protest,Police misconduct allegations during the 2019–20 Hong Kong protests,0.6718050337541712
265,Causes of the 2019–20 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.6689024909256605
358,Death of Chow Tsz-lok,Police misconduct allegations during the 2019–20 Hong Kong protests,0.6644099820383916
536,List of November 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.6569979871679529
237,Carrie Lam,"One country, two systems",0.6504332861656117
589,Siege of the Hong Kong Polytechnic University,Storming of the Legislative Council Complex,0.6440620804131681
147,2019 Yuen Long attack,List of March–June 2019 Hong Kong protests,0.6440531741460302
146,2019 Yuen Long attack,List of July 2019 Hong Kong protests,0.6382028107973767
458,Hong Kong–Mainland China conflict,Umbrella Movement,0.6335197237303186
112,2019 Prince Edward station attack,Hong Kong–Mainland China conflict,0.632667354644555
116,2019 Prince Edward station attack,List of July 2019 Hong Kong protests,0.6295284896383805
518,List of March–June 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.628137241480574
289,Chinese University of Hong Kong conflict,Police misconduct allegations during the 2019–20 Hong Kong protests,0.6268223147946287
506,List of July 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.6263675291522589
176,2019–20 Hong Kong protests,List of March–June 2019 Hong Kong protests,0.6261059582960714
544,List of October 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.6251761892438529
36,2019 Hong Kong extradition bill,2019 Yuen Long attack,0.6242603074937494
175,2019–20 Hong Kong protests,List of July 2019 Hong Kong protests,0.6242226939423375
161,2019–20 Hong Kong protests,Carrie Lam,0.6238928795662685
234,Carrie Lam,List of protests in Hong Kong,0.620817886120511
306,Civil Human Rights Front,List of March–June 2019 Hong Kong protests,0.6186608411032569
257,Causes of the 2019–20 Hong Kong protests,List of March–June 2019 Hong Kong protests,0.6136247916858668
184,2019–20 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.6136119042627997
396,Glory to Hong Kong,List of September 2019 Hong Kong protests,0.6134150386818477
384,Demosistō,Umbrella Movement,0.609149613856285
365,Demosistō,Government of Hong Kong,0.608442512661173
226,Carrie Lam,Hong Kong–Mainland China conflict,0.6075594792889191
183,2019–20 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.6054528253284702
135,2019 Yuen Long attack,Civil Human Rights Front,0.6047411213333855
558,List of protests in Hong Kong,Umbrella Movement,0.6043712326606936
188,2019–20 Hong Kong protests,Umbrella Movement,0.5982056746433725
339,Death of Chan Yin-lam,Storming of the Legislative Council Complex,0.5976980064108649
155,2019 Yuen Long attack,Reactions to the 2019–20 Hong Kong protests,0.5975060150983781
338,Death of Chan Yin-lam,Siege of the Hong Kong Polytechnic University,0.5938714614607328
448,Hong Kong–Mainland China conflict,List of October 2019 Hong Kong protests,0.5916687230494055
297,Civil Human Rights Front,Demosistō,0.5894313822518703
535,List of November 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.5883936138616814
581,Police misconduct allegations during the 2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.5870688156528628
303,Civil Human Rights Front,List of August 2019 Hong Kong protests,0.5808513887053156
