,Article 1,Article 2,Corr.
655,List of July 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.4624313218505787
627,List of August 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.4576650585263425
687,List of October 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.45502235026214966
637,List of December 2019 Hong Kong protests,List of March–June 2019 Hong Kong protests,0.45354799611044155
19,12 June 2019 Hong Kong protest,Hong Kong,0.45351192446040284
493,HKmap.live,Lennon Wall (Hong Kong),0.4508872379510493
310,Chinese University of Hong Kong conflict,Glory to Hong Kong,0.45062494371988376
531,Hong Kong Human Rights and Democracy Act,Hong Kong Way,0.44947532245378063
385,Death of Chan Yin-lam,Reactions to the 2019–20 Hong Kong protests,0.4448586212674024
324,Chinese University of Hong Kong conflict,List of October 2019 Hong Kong protests,0.4395348945472518
0,12 June 2019 Hong Kong protest,2019 Hong Kong extradition bill,0.43924785074639777
449,Glory to Hong Kong,List of August 2019 Hong Kong protests,0.43908451907678964
555,Hong Kong Way,List of December 2019 Hong Kong protests,0.43644095754127354
566,Hong Kong Way,Siege of the Hong Kong Polytechnic University,0.4301996216423347
597,Hong Kong–Mainland China conflict,Murder of Poon Hiu-wing,0.42473626036470785
445,Glory to Hong Kong,Hong Kong Way,0.4202390416255541
500,HKmap.live,List of protests in Hong Kong,0.41734535976694603
340,Civil Human Rights Front,HKmap.live,0.41734535976694603
716,Murder of Poon Hiu-wing,Siege of the Hong Kong Polytechnic University,0.4126976552834807
315,Chinese University of Hong Kong conflict,Hong Kong Way,0.412079624066791
283,Causes of the 2019–20 Hong Kong protests,HKmap.live,0.410312286293429
88,2019 Hong Kong local elections,HKmap.live,0.3989600060735495
24,12 June 2019 Hong Kong protest,List of July 2019 Hong Kong protests,0.39671776856281943
183,2019–20 Hong Kong protests,Chinese University of Hong Kong conflict,0.39180646654137713
607,Lennon Wall (Hong Kong),List of July 2019 Hong Kong protests,0.3914295924857554
186,2019–20 Hong Kong protests,Death of Chow Tsz-lok,0.3908430783585307
421,Demosistō,Hong Kong Way,0.3842808649791166
552,Hong Kong Way,Hong Kong–Mainland China conflict,0.37390150681104395
643,List of December 2019 Hong Kong protests,"One country, two systems",0.37259186064470856
15,12 June 2019 Hong Kong protest,HKmap.live,0.3672070954539529
155,2019 Yuen Long attack,Glory to Hong Kong,0.3638154171906927
281,Causes of the 2019–20 Hong Kong protests,Glory to Hong Kong,0.36278263991124116
559,Hong Kong Way,List of October 2019 Hong Kong protests,0.3567883857808791
580,Hong Kong,Murder of Poon Hiu-wing,0.3537664365780458
442,Glory to Hong Kong,HKmap.live,0.3502492655381964
430,Demosistō,List of October 2019 Hong Kong protests,0.34804047419773837
222,Art of the 2019–20 Hong Kong protests,HKmap.live,0.3462873962484946
253,Carrie Lam,HKmap.live,0.34584228847887194
666,List of March–June 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.3420399321761975
297,Causes of the 2019–20 Hong Kong protests,List of September 2019 Hong Kong protests,0.33264266455342495
594,Hong Kong–Mainland China conflict,List of October 2019 Hong Kong protests,0.3296332738485431
165,2019 Yuen Long attack,List of December 2019 Hong Kong protests,0.3265826845399881
460,Glory to Hong Kong,Reactions to the 2019–20 Hong Kong protests,0.3263776087987655
162,2019 Yuen Long attack,Hong Kong–Mainland China conflict,0.32465402455093706
295,Causes of the 2019–20 Hong Kong protests,List of October 2019 Hong Kong protests,0.32401772963681996
459,Glory to Hong Kong,Police misconduct allegations during the 2019–20 Hong Kong protests,0.3235937019757293
241,Art of the 2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.3231816216343029
290,Causes of the 2019–20 Hong Kong protests,List of August 2019 Hong Kong protests,0.32174269732394795
209,2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.3212183565161986
545,Hong Kong Human Rights and Democracy Act,Police misconduct allegations during the 2019–20 Hong Kong protests,0.31944912286840693
288,Causes of the 2019–20 Hong Kong protests,Hong Kong–Mainland China conflict,0.3186111102046313
198,2019–20 Hong Kong protests,List of December 2019 Hong Kong protests,0.318350312892359
564,Hong Kong Way,Police misconduct allegations during the 2019–20 Hong Kong protests,0.31470965756292446
495,HKmap.live,List of December 2019 Hong Kong protests,0.30807117432776776
435,Demosistō,Police misconduct allegations during the 2019–20 Hong Kong protests,0.3071095992756287
554,Hong Kong Way,List of August 2019 Hong Kong protests,0.2988080237713981
690,List of October 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.29502086969034
150,2019 Yuen Long attack,Chinese University of Hong Kong conflict,0.2926624308945613
447,Glory to Hong Kong,Hong Kong–Mainland China conflict,0.2917829605569344
692,List of October 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.2904454574119102
382,Death of Chan Yin-lam,Murder of Poon Hiu-wing,0.2867022261303885
540,Hong Kong Human Rights and Democracy Act,List of October 2019 Hong Kong protests,0.28531725137231906
171,2019 Yuen Long attack,List of September 2019 Hong Kong protests,0.28305092824490463
652,List of July 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.2815429403405065
408,Death of Chow Tsz-lok,Murder of Poon Hiu-wing,0.2765955347520954
97,2019 Hong Kong local elections,List of July 2019 Hong Kong protests,0.27645078018359226
610,Lennon Wall (Hong Kong),List of October 2019 Hong Kong protests,0.275331202369222
48,2019 Hong Kong extradition bill,Death of Chow Tsz-lok,0.2722546425593012
444,Glory to Hong Kong,Hong Kong Human Rights and Democracy Act,0.27035054267739844
349,Civil Human Rights Front,List of July 2019 Hong Kong protests,0.2694823009230449
653,List of July 2019 Hong Kong protests,List of protests in Hong Kong,0.2694823009230449
