,Article 1,Article 2,Corr.
170,2019_Yuen_Long_attack,List_of_protests_in_Hong_Kong,0.719905564769246
622,List_of_August_2019_Hong_Kong_protests,List_of_July_2019_Hong_Kong_protests,0.7191079626476676
140,2019_Prince_Edward_station_attack,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.7159779458473119
481,Government_of_Hong_Kong,"One_country,_two_systems",0.7153177992236163
691,List_of_October_2019_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.7151642086956589
591,Hong_Kong–Mainland_China_conflict,List_of_July_2019_Hong_Kong_protests,0.7145463199459843
276,Causes_of_the_2019–20_Hong_Kong_protests,Chinese_University_of_Hong_Kong_conflict,0.7133466070100667
592,Hong_Kong–Mainland_China_conflict,List_of_March–June_2019_Hong_Kong_protests,0.7122469953257803
146,2019_Yuen_Long_attack,2019–20_Hong_Kong_protests,0.7103149329086519
54,2019_Hong_Kong_extradition_bill,Hong_Kong_1_July_marches,0.7092105242560065
133,2019_Prince_Edward_station_attack,List_of_March–June_2019_Hong_Kong_protests,0.7089617120465086
254,Carrie_Lam,Hong_Kong,0.7064477750380096
332,Chinese_University_of_Hong_Kong_conflict,Storming_of_the_Legislative_Council_Complex,0.7058856564563816
623,List_of_August_2019_Hong_Kong_protests,List_of_March–June_2019_Hong_Kong_protests,0.703485793165285
307,Chinese_University_of_Hong_Kong_conflict,Death_of_Chan_Yin-lam,0.7025691290686407
513,Hong_Kong,Hong_Kong–Mainland_China_conflict,0.7013835241900918
302,Causes_of_the_2019–20_Hong_Kong_protests,Siege_of_the_Hong_Kong_Polytechnic_University,0.6995394321095428
162,2019_Yuen_Long_attack,Hong_Kong–Mainland_China_conflict,0.6952334435584158
524,Hong_Kong,"One_country,_two_systems",0.691720092786061
191,2019–20_Hong_Kong_protests,Hong_Kong,0.6909006538121065
156,2019_Yuen_Long_attack,Government_of_Hong_Kong,0.6900662363967539
572,Hong_Kong_Way,List_of_August_2019_Hong_Kong_protests,0.6891743673939754
356,Civil_Human_Rights_Front,"One_country,_two_systems",0.688026481196791
315,Chinese_University_of_Hong_Kong_conflict,Hong_Kong_Human_Rights_and_Democracy_Act,0.684262348644125
