,revid,parentid,user,userid,timestamp,size,anon,userhidden,page_id
21,477901908,450584516,Ohconfucius,736651.0,2012-02-20T16:17:44Z,3401,,,18592548
22,478524088,477901908,Italy jai2002,6904097.0,2012-02-24T00:50:18Z,3734,,,18592548
23,478524572,478524088,Italy jai2002,6904097.0,2012-02-24T00:53:14Z,3739,,,18592548
24,478527867,478524572,Italy jai2002,6904097.0,2012-02-24T01:17:53Z,3403,,,18592548
25,497726068,478527867,23.16.155.8,0.0,2012-06-15T15:08:41Z,3412,True,,18592548
26,497726077,497726068,23.16.155.8,0.0,2012-06-15T15:08:45Z,3412,True,,18592548
27,497726093,497726077,23.16.155.8,0.0,2012-06-15T15:08:49Z,3412,True,,18592548
28,497726101,497726093,23.16.155.8,0.0,2012-06-15T15:08:53Z,3412,True,,18592548
29,499700207,497726101,Jabo-er,15141079.0,2012-06-28T03:46:06Z,3693,,,18592548
30,499762480,499700207,Jabo-er,15141079.0,2012-06-28T14:44:40Z,3883,,,18592548
31,500120702,499762480,Dexterfung,14837258.0,2012-07-01T01:13:00Z,4094,,,18592548
32,500120840,500120702,Dexterfung,14837258.0,2012-07-01T01:14:29Z,4123,,,18592548
33,500205762,500120840,Tavatar,7644919.0,2012-07-01T17:31:38Z,4119,,,18592548
34,500315908,500205762,Ricky@36,732883.0,2012-07-02T11:27:21Z,4127,,,18592548
35,500357694,500315908,Tokiohotelover,8710486.0,2012-07-02T17:41:03Z,4156,,,18592548
36,500747443,500357694,ASDFGH,2305106.0,2012-07-05T04:04:46Z,4237,,,18592548
37,500756903,500747443,ASDFGH,2305106.0,2012-07-05T06:04:34Z,4243,,,18592548
38,500952678,500756903,Tavatar,7644919.0,2012-07-06T14:01:02Z,4231,,,18592548
39,502538713,500952678,23.16.154.171,0.0,2012-07-16T01:38:16Z,4232,True,,18592548
40,502592383,502538713,221.124.22.8,0.0,2012-07-16T09:20:43Z,4228,True,,18592548
41,503823713,502592383,Tavatar,7644919.0,2012-07-23T20:02:54Z,4255,,,18592548
42,514113837,503823713,Chongkian,8766034.0,2012-09-23T03:52:56Z,4267,,,18592548
43,514628350,514113837,ASDFGH,2305106.0,2012-09-26T10:58:11Z,4279,,,18592548
44,523057497,514628350,Blam102,17890955.0,2012-11-14T22:11:30Z,4283,,,18592548
45,524321043,523057497,221.126.121.252,0.0,2012-11-22T08:15:37Z,3921,True,,18592548
46,527562203,524321043,Yobot,7328338.0,2012-12-11T17:19:13Z,3918,,,18592548
47,529169014,527562203,BG19bot,14508071.0,2012-12-21T21:09:52Z,3880,,,18592548
48,536705955,529169014,Tavatar,7644919.0,2013-02-05T15:24:19Z,3862,,,18592548
49,537188334,536705955,194.47.147.222,0.0,2013-02-08T08:28:19Z,3855,True,,18592548
50,537188551,537188334,194.47.147.222,0.0,2013-02-08T08:30:34Z,3871,True,,18592548
51,541423717,537188551,Marxistfounder,17955628.0,2013-03-01T04:33:52Z,3903,,,18592548
52,542948643,541423717,Addbot,6569922.0,2013-03-09T01:30:06Z,3858,,,18592548
53,553744950,542948643,Lmmnhn,4599174.0,2013-05-06T07:46:12Z,3906,,,18592548
54,560205762,553744950,ASDFGH,2305106.0,2013-06-16T21:08:03Z,3932,,,18592548
55,562362544,560205762,ASDFGH,2305106.0,2013-07-01T08:20:48Z,3943,,,18592548
56,562750307,562362544,Waacstats,1951353.0,2013-07-03T21:46:41Z,3964,,,18592548
57,569669786,562750307,Germanomaniac,990328.0,2013-08-22T03:26:25Z,3953,,,18592548
58,576107462,569669786,Chongkian,8766034.0,2013-10-07T08:00:47Z,4004,,,18592548
59,603770237,576107462,LibStar,4307181.0,2014-04-11T17:25:28Z,4019,,,18592548
60,603772834,603770237,AnomieBOT,7611264.0,2014-04-11T17:45:47Z,4035,,,18592548
61,614888059,603772834,180.244.56.214,0.0,2014-06-29T14:21:45Z,4039,True,,18592548
62,617133681,614888059,170.148.132.135,0.0,2014-07-16T03:25:35Z,4381,True,,18592548
63,617133778,617133681,Spirit of Eagle,16860320.0,2014-07-16T03:26:38Z,4380,,,18592548
64,618839364,617133778,146.90.147.220,0.0,2014-07-28T16:39:06Z,4040,True,,18592548
65,618904081,618839364,170.148.69.140,0.0,2014-07-29T01:49:38Z,4900,True,,18592548
66,618904154,618904081,170.148.69.140,0.0,2014-07-29T01:50:11Z,4041,True,,18592548
67,623800837,618904154,170.148.69.141,0.0,2014-09-02T02:43:03Z,4900,True,,18592548
68,623801200,623800837,170.148.132.136,0.0,2014-09-02T02:46:51Z,5145,True,,18592548
69,623802158,623801200,Bollyjeff,12037174.0,2014-09-02T02:57:22Z,4900,,,18592548
70,627437344,623802158,86.46.56.41,0.0,2014-09-28T17:31:58Z,4041,True,,18592548
71,627696750,627437344,Thenhanian,22704603.0,2014-09-30T16:18:57Z,4037,,,18592548
72,627697572,627696750,Pratyya Ghosh,16166519.0,2014-09-30T16:26:14Z,4041,,,18592548
73,628040763,627697572,130.113.84.160,0.0,2014-10-03T04:42:53Z,4080,True,,18592548
74,628095706,628040763,Underwaterbuffalo,6833051.0,2014-10-03T16:02:11Z,4055,,,18592548
75,628098148,628095706,Underwaterbuffalo,6833051.0,2014-10-03T16:21:59Z,4351,,,18592548
76,628100587,628098148,AnomieBOT,7611264.0,2014-10-03T16:42:02Z,4405,,,18592548
77,628103843,628100587,Underwaterbuffalo,6833051.0,2014-10-03T17:07:12Z,4914,,,18592548
78,628107320,628103843,Underwaterbuffalo,6833051.0,2014-10-03T17:35:48Z,4909,,,18592548
79,628114105,628107320,Underwaterbuffalo,6833051.0,2014-10-03T18:28:21Z,5340,,,18592548
80,628116398,628114105,Underwaterbuffalo,6833051.0,2014-10-03T18:47:17Z,5684,,,18592548
81,628118922,628116398,Underwaterbuffalo,6833051.0,2014-10-03T19:11:13Z,5714,,,18592548
82,629441190,628118922,Ohconfucius,736651.0,2014-10-13T14:20:49Z,5693,,,18592548
83,632957042,629441190,TheCoffeeAddict,22957913.0,2014-11-08T14:18:12Z,5722,,,18592548
84,633631868,632957042,165.202.4.150,0.0,2014-11-13T06:02:05Z,5755,True,,18592548
85,633632189,633631868,Widr,13975403.0,2014-11-13T06:06:51Z,5722,,,18592548
86,666724174,633632189,182.255.99.214,0.0,2015-06-13T06:02:37Z,5756,True,,18592548
87,679543344,666724174,MICE Playroom,26179409.0,2015-09-05T06:25:08Z,5965,,,18592548
88,679613129,679543344,Arjayay,5718152.0,2015-09-05T17:29:23Z,5966,,,18592548
89,679615661,679613129,AnomieBOT,7611264.0,2015-09-05T17:49:57Z,5986,,,18592548
90,688697940,679615661,Ohconfucius,736651.0,2015-11-02T14:45:15Z,6694,,,18592548
91,688697965,688697940,Ohconfucius,736651.0,2015-11-02T14:45:31Z,6693,,,18592548
92,688890396,688697965,Lmmnhn,4599174.0,2015-11-03T17:43:29Z,6935,,,18592548
93,695219716,688890396,Thunderstorm008,19279160.0,2015-12-14T16:01:15Z,7576,,,18592548
94,704134525,695219716,Citobun,19212093.0,2016-02-09T19:27:03Z,7559,,,18592548
95,704374426,704134525,Lockley,207616.0,2016-02-11T05:16:25Z,7272,,,18592548
96,711473771,704374426,Lmmnhn,4599174.0,2016-03-23T02:34:12Z,7311,,,18592548
97,712437599,711473771,Tim.wong.427,27948217.0,2016-03-29T02:36:58Z,7246,,,18592548
98,712437702,712437599,Tim.wong.427,27948217.0,2016-03-29T02:37:45Z,7247,,,18592548
99,712444007,712437702,Citobun,19212093.0,2016-03-29T03:36:22Z,7311,,,18592548
100,714810465,712444007,Timothylamlam,25246836.0,2016-04-12T00:12:02Z,7306,,,18592548
101,715012124,714810465,BG19bot,14508071.0,2016-04-13T05:11:10Z,7311,,,18592548
102,715019758,715012124,Bgwhite,264323.0,2016-04-13T06:44:50Z,7294,,,18592548
103,715060543,715019758,59.148.102.132,0.0,2016-04-13T13:44:03Z,7290,True,,18592548
104,715060697,715060543,59.148.102.132,0.0,2016-04-13T13:45:22Z,7277,True,,18592548
105,715060838,715060697,Dcirovic,11795905.0,2016-04-13T13:46:31Z,7294,,,18592548
106,715157911,715060838,Matthewmajorb,25143404.0,2016-04-14T01:57:12Z,7297,,,18592548
107,715157992,715157911,Timothylamlam,25246836.0,2016-04-14T01:57:48Z,7288,,,18592548
108,715158134,715157992,Timothylamlam,25246836.0,2016-04-14T01:58:59Z,7294,,,18592548
109,715158189,715158134,Timothylamlam,25246836.0,2016-04-14T01:59:24Z,6213,,,18592548
110,715158219,715158189,Timothylamlam,25246836.0,2016-04-14T01:59:38Z,4473,,,18592548
111,715158254,715158219,Timothylamlam,25246836.0,2016-04-14T01:59:51Z,3317,,,18592548
112,715158269,715158254,Timothylamlam,25246836.0,2016-04-14T02:00:00Z,79,,,18592548
113,715158349,715158269,Timothylamlam,25246836.0,2016-04-14T02:00:37Z,0,,,18592548
