,revid,parentid,user,userid,timestamp,size,anon
0,920587416,0,Feminist,25530780,2019-10-10T18:06:47Z,104,
1,920664068,920587416,Mariogoods,34143604,2019-10-11T03:37:43Z,104,
2,920731309,920664068,Feminist,25530780,2019-10-11T14:11:55Z,2267,
3,920734413,920731309,Slatersteven,4030526,2019-10-11T14:37:36Z,2447,
4,920737587,920734413,Feminist,25530780,2019-10-11T15:00:40Z,2446,
5,920742753,920737587,103.127.65.44,0,2019-10-11T15:38:46Z,2700,True
6,920754064,920742753,Slatersteven,4030526,2019-10-11T17:07:08Z,2887,
7,920801749,920754064,Mariogoods,34143604,2019-10-11T23:25:56Z,2935,
8,928838475,920801749,DYKUpdateBot,11745509,2019-12-02T00:02:15Z,3256,
9,928844167,928838475,Ypna,9662347,2019-12-02T00:49:18Z,3287,
10,929922979,928844167,Robertsky,1990013,2019-12-09T03:12:28Z,3277,
