,revid,parentid,user,anon,userid,timestamp,size
0,903486168,841395228,207.98.72.251,True,0,2019-06-26T00:23:33Z,9653
1,920158344,903486168,Sirlanz,,4714987,2019-10-08T00:33:08Z,10322
2,920158814,920158344,Kdm852,,18929001,2019-10-08T00:37:41Z,10534
3,929191284,920158814,Ypna,,9662347,2019-12-04T06:34:06Z,10565
4,929920818,929191284,Robertsky,,1990013,2019-12-09T02:53:01Z,10586
