,pageid,ns,title
0,3341588,0,July 1 protests
1,4416146,0,July 1 marches
2,12073002,0,Hong Kong July 1 marches (2003)
3,14931096,0,Hong kong july 1 march
4,15225731,0,Hong kong july 1 marches
5,20920258,0,Hong Kong July 1 marches
6,41692956,0,2003 July 1 march
7,41705267,0,2010 July 1 march
8,50900638,0,1 July marches
9,56889076,0,2003 July 1 protest
10,56889081,0,2003 July 1st protest
11,60614463,0,July 1 protest
12,61951764,0,2003 1 July march
