,pageid,ns,title
0,62373466,1,Talk:2019 November CUHK-Hong Kong Police Force conflict
1,62388428,1,Talk:2019 Chinese University of Hong Kong conflict
2,62389195,1,Talk:Siege of Chinese University
3,62399522,1,Talk:Siege of the Chinese University of Hong Kong
4,62400048,1,Talk:Chinese University of Hong Kong Conflict
